type,parent_name,name,link,status
category,Komputer & Aksesoris,Software,https://shopee.co.id/Software-cat.11044364.11044405,
facet,Software,Software,https://shopee.co.id/Software-cat.11044364.11044405?facet=101937,
category,Komputer & Aksesoris,Peralatan Kantor,https://shopee.co.id/Peralatan-Kantor-cat.11044364.11044410,
facet,Peralatan Kantor,Mesin Ketik,https://shopee.co.id/Peralatan-Kantor-cat.11044364.11044410?facet=101977,
facet,Peralatan Kantor,Mesin Absensi,https://shopee.co.id/Peralatan-Kantor-cat.11044364.11044410?facet=101978,
facet,Peralatan Kantor,Penghancur Kertas,https://shopee.co.id/Peralatan-Kantor-cat.11044364.11044410?facet=101979,
facet,Peralatan Kantor,Penghitung Uang,https://shopee.co.id/Peralatan-Kantor-cat.11044364.11044410?facet=101980,
category,Komputer & Aksesoris,Printer & Scanner,https://shopee.co.id/Printer-&-Scanner-cat.11044364.11044416,
facet,Printer & Scanner,"Printer, Scanner & Mesin Fotokopi",https://shopee.co.id/Printer-&-Scanner-cat.11044364.11044416?facet=101982,
facet,Printer & Scanner,Printer Thermal & Barcode,https://shopee.co.id/Printer-&-Scanner-cat.11044364.11044416?facet=101983,
facet,Printer & Scanner,Tinta Printer,https://shopee.co.id/Printer-&-Scanner-cat.11044364.11044416?facet=101984,
facet,Printer & Scanner,3D Printer,https://shopee.co.id/Printer-&-Scanner-cat.11044364.11044416?facet=101985,
category,Komputer & Aksesoris,Aksesoris Desktop & Laptop,https://shopee.co.id/Aksesoris-Desktop-&-Laptop-cat.11044364.11044422,
facet,Aksesoris Desktop & Laptop,USB HUB & Card Reader,https://shopee.co.id/Aksesoris-Desktop-&-Laptop-cat.11044364.11044422?facet=101987,
facet,Aksesoris Desktop & Laptop,Webcam,https://shopee.co.id/Aksesoris-Desktop-&-Laptop-cat.11044364.11044422?facet=101988,
facet,Aksesoris Desktop & Laptop,Pelindung Laptop & Skin Laptop,https://shopee.co.id/Aksesoris-Desktop-&-Laptop-cat.11044364.11044422?facet=101989,
facet,Aksesoris Desktop & Laptop,Cooling Pad,https://shopee.co.id/Aksesoris-Desktop-&-Laptop-cat.11044364.11044422?facet=101990,
facet,Aksesoris Desktop & Laptop,Meja & Stand Laptop,https://shopee.co.id/Aksesoris-Desktop-&-Laptop-cat.11044364.11044422?facet=101991,
facet,Aksesoris Desktop & Laptop,Pelindung Keyboard & Trackpad,https://shopee.co.id/Aksesoris-Desktop-&-Laptop-cat.11044364.11044422?facet=101992,
facet,Aksesoris Desktop & Laptop,Baterai Laptop,https://shopee.co.id/Aksesoris-Desktop-&-Laptop-cat.11044364.11044422?facet=101993,
facet,Aksesoris Desktop & Laptop,Charger & Adaptor Laptop,https://shopee.co.id/Aksesoris-Desktop-&-Laptop-cat.11044364.11044422?facet=101994,
facet,Aksesoris Desktop & Laptop,Perangkat Video Conference,https://shopee.co.id/Aksesoris-Desktop-&-Laptop-cat.11044364.11044422?facet=101995,
facet,Aksesoris Desktop & Laptop,Mouse Pad,https://shopee.co.id/Aksesoris-Desktop-&-Laptop-cat.11044364.11044422?facet=101996,
category,Komputer & Aksesoris,Keyboard & Mouse,https://shopee.co.id/Keyboard-&-Mouse-cat.11044364.11044434,
facet,Keyboard & Mouse,Mouse,https://shopee.co.id/Keyboard-&-Mouse-cat.11044364.11044434?facet=101998,
facet,Keyboard & Mouse,Keyboard,https://shopee.co.id/Keyboard-&-Mouse-cat.11044364.11044434?facet=101999,
facet,Keyboard & Mouse,Drawing Tablet,https://shopee.co.id/Keyboard-&-Mouse-cat.11044364.11044434?facet=102000,
